# Mon/Wed/Fri price-level-touch (percentage) — swing ledger
# Lookback = 730 calendar days  |  data source: Alpaca Markets API
# Generated 2026-08-13 12:11:02

date,ticker,day,base_ref_time,base_ref_price,pct,threshold,up_level,down_level,sess_high,sess_low,max_up_swing_pct,max_down_swing_pct,max_up_swing,max_down_swing,touched_up,touched_down,touched_both,touched_neither
2024-08-19,TSLA,Monday,3:50 PM,216.31,0.0050,1.0816,217.3915,215.2285,222.97,214.14,0.030789,0.010032,6.66,2.17,True,True,True,False
2024-08-19,TSLA,Monday,3:50 PM,216.31,0.0075,1.6223,217.9323,214.6877,222.97,214.14,0.030789,0.010032,6.66,2.17,True,True,True,False
2024-08-19,TSLA,Monday,3:50 PM,216.31,0.0100,2.1631,218.4731,214.1469,222.97,214.14,0.030789,0.010032,6.66,2.17,True,True,True,False
2024-08-19,TSLA,Monday,3:50 PM,216.31,0.0125,2.7039,219.0139,213.6061,222.97,214.14,0.030789,0.010032,6.66,2.17,True,False,False,False
2024-08-19,TSLA,Monday,3:50 PM,216.31,0.0150,3.2447,219.5546,213.0653,222.97,214.14,0.030789,0.010032,6.66,2.17,True,False,False,False
2024-08-19,TSLA,Monday,3:50 PM,216.31,0.0200,4.3262,220.6362,211.9838,222.97,214.14,0.030789,0.010032,6.66,2.17,True,False,False,False
2024-08-19,TSLA,Monday,3:50 PM,216.31,0.0250,5.4078,221.7177,210.9023,222.97,214.14,0.030789,0.010032,6.66,2.17,True,False,False,False
2024-08-19,TSLA,Monday,3:50 PM,216.31,0.0300,6.4893,222.7993,209.8207,222.97,214.14,0.030789,0.010032,6.66,2.17,True,False,False,False
2024-08-19,TSLA,Monday,3:50 PM,216.31,0.0350,7.5709,223.8808,208.7391,222.97,214.14,0.030789,0.010032,6.66,2.17,False,False,False,True
2024-08-19,TSLA,Monday,3:50 PM,216.31,0.0400,8.6524,224.9624,207.6576,222.97,214.14,0.030789,0.010032,6.66,2.17,False,False,False,True
2024-08-19,TSLA,Monday,3:50 PM,216.31,0.0500,10.8155,227.1255,205.4945,222.97,214.14,0.030789,0.010032,6.66,2.17,False,False,False,True
2024-08-19,TSLA,Monday,3:50–55 avg,216.4242,0.0050,1.0821,217.5063,215.342,222.97,214.14,0.030245,0.010554,6.5458,2.2842,True,True,True,False
2024-08-19,TSLA,Monday,3:50–55 avg,216.4242,0.0075,1.6232,218.0473,214.801,222.97,214.14,0.030245,0.010554,6.5458,2.2842,True,True,True,False
2024-08-19,TSLA,Monday,3:50–55 avg,216.4242,0.0100,2.1642,218.5884,214.2599,222.97,214.14,0.030245,0.010554,6.5458,2.2842,True,True,True,False
2024-08-19,TSLA,Monday,3:50–55 avg,216.4242,0.0125,2.7053,219.1295,213.7189,222.97,214.14,0.030245,0.010554,6.5458,2.2842,True,False,False,False
2024-08-19,TSLA,Monday,3:50–55 avg,216.4242,0.0150,3.2464,219.6705,213.1778,222.97,214.14,0.030245,0.010554,6.5458,2.2842,True,False,False,False
2024-08-19,TSLA,Monday,3:50–55 avg,216.4242,0.0200,4.3285,220.7527,212.0957,222.97,214.14,0.030245,0.010554,6.5458,2.2842,True,False,False,False
2024-08-19,TSLA,Monday,3:50–55 avg,216.4242,0.0250,5.4106,221.8348,211.0136,222.97,214.14,0.030245,0.010554,6.5458,2.2842,True,False,False,False
2024-08-19,TSLA,Monday,3:50–55 avg,216.4242,0.0300,6.4927,222.9169,209.9314,222.97,214.14,0.030245,0.010554,6.5458,2.2842,True,False,False,False
2024-08-19,TSLA,Monday,3:50–55 avg,216.4242,0.0350,7.5748,223.999,208.8493,222.97,214.14,0.030245,0.010554,6.5458,2.2842,False,False,False,True
2024-08-19,TSLA,Monday,3:50–55 avg,216.4242,0.0400,8.657,225.0811,207.7672,222.97,214.14,0.030245,0.010554,6.5458,2.2842,False,False,False,True
2024-08-19,TSLA,Monday,3:50–55 avg,216.4242,0.0500,10.8212,227.2454,205.603,222.97,214.14,0.030245,0.010554,6.5458,2.2842,False,False,False,True
2024-08-19,TSLA,Monday,3:51 PM,216.325,0.0050,1.0816,217.4066,215.2434,222.97,214.14,0.030718,0.010101,6.645,2.185,True,True,True,False
2024-08-19,TSLA,Monday,3:51 PM,216.325,0.0075,1.6224,217.9474,214.7026,222.97,214.14,0.030718,0.010101,6.645,2.185,True,True,True,False
2024-08-19,TSLA,Monday,3:51 PM,216.325,0.0100,2.1633,218.4882,214.1617,222.97,214.14,0.030718,0.010101,6.645,2.185,True,True,True,False
